category,name,repo,url,stars,last_updated,description
Awesome Lists,Awesome AI Memory,topoteretes/awesome-ai-memory,https://github.com/topoteretes/awesome-ai-memory,741,2025-01-10,A list of AI memory projects
Awesome Lists,Awesome AI Memory,IAAR-Shanghai/Awesome-AI-Memory,https://github.com/IAAR-Shanghai/Awesome-AI-Memory,781,2026-04-22,"Awesome AI Memory | LLM Memory | A curated knowledge base on AI memory for LLMs and agents, covering long-term memory, reasoning, retrieval, and memory-native system design.  Awesome-AI-Memory 是一个 集中式、持续更新的 AI 记忆知识库，系统性整理了与 大模型记忆（LLM Memory）与智能体记忆（Agent Memory） 相关的前沿研究、工程框架、系统设计、评测基准与真实应用实践。"
Benchmarks,MemoryBench,supermemoryai/memorybench,https://github.com/supermemoryai/memorybench,247,2026-03-27,Unified benchmark for evaluating conversational memory and RAG across multiple datasets
Frameworks with Memory,BaseAI,CommandCodeAI/BaseAI,https://github.com/CommandCodeAI/BaseAI,1228,2026-04-09,"BaseAI — The Web AI Framework. The easiest way to build serverless autonomous AI agents with memory. Start building local-first, agentic pipes, tools, and memory. Deploy serverless with one command."
Frameworks with Memory,cognee,topoteretes/cognee,https://github.com/topoteretes/cognee,16761,2026-04-25,Knowledge Engine for AI Agent Memory in 6 lines of code
Frameworks with Memory,langgraph-redis,redis-developer/langgraph-redis,https://github.com/redis-developer/langgraph-redis,214,2026-04-15,Redis checkpointer and store for memory management in LangGraph
Frameworks with Memory,rowboat,rowboatlabs/rowboat,https://github.com/rowboatlabs/rowboat,13081,2026-04-25,"Open-source AI coworker, with memory"
General Memory Systems,basic-memory,basicmachines-co/basic-memory,https://github.com/basicmachines-co/basic-memory,2919,2026-04-23,AI conversations that actually remember. Never re-explain your project to your AI again. Join our Discord: https://discord.gg/tyvKNccgqN
General Memory Systems,mem0,mem0ai/mem0,https://github.com/mem0ai/mem0,54020,2026-04-25,Universal memory layer for AI Agents
General Memory Systems,memobase,memodb-io/memobase,https://github.com/memodb-io/memobase,2695,2026-01-11,User Profile-Based Long-Term Memory for AI Chatbot Applications.
General Memory Systems,Memori,MemoriLabs/Memori,https://github.com/MemoriLabs/Memori,13804,2026-04-25,"Memori is agent-native memory infrastructure. A LLM-agnostic layer that turns agent execution and conversation into structured, persistent state for production systems."
General Memory Systems,MemoryBear,SuanmoSuanyangTechnology/MemoryBear,https://github.com/SuanmoSuanyangTechnology/MemoryBear,3117,2026-04-25,MemoryBear Equip AI with human-like memory capability
General Memory Systems,mempalace,MemPalace/mempalace,https://github.com/MemPalace/mempalace,49542,2026-04-25,The best-benchmarked open-source AI memory system. And it's free.
Graph Approaches,automem,verygoodplugins/automem,https://github.com/verygoodplugins/automem,718,2026-04-24,"AutoMem is a graph-vector memory service that gives AI assistants durable, relational memory:"
Graph Approaches,create-context-graph,neo4j-labs/create-context-graph,https://github.com/neo4j-labs/create-context-graph,521,2026-04-23,"AI agents with graph based reasoning memory, scaffolded in seconds"
Graph Approaches,memgraph,memgraph/memgraph,https://github.com/memgraph/memgraph,3946,2026-04-25,"High-performance open-source in-memory graph database for GraphRAG, AI memory, agentic AI, and real-time graph analytics. Cypher-compatible, built in C++."
Interesting / Other,agent-memory,neo4j-labs/agent-memory,https://github.com/neo4j-labs/agent-memory,155,2026-04-23,"A graph-native memory system for AI agents and context graphs. Store conversations, build knowledge graphs, and let your agents learn from their own reasoning — all backed by Neo4j."
Interesting / Other,agentic-context-engine,kayba-ai/agentic-context-engine,https://github.com/kayba-ai/agentic-context-engine,2163,2026-04-24,🧠 Make your agents learn from experience. Now available as a hosted solution at kayba.ai
Interesting / Other,agentmemory,rohitg00/agentmemory,https://github.com/rohitg00/agentmemory,1982,2026-04-24,#1 Persistent memory for AI coding agents based on real-world benchmarks
